cedula,salario,ciudad,edad,fecha_nacimiento,genero
78574553,2091697,Bogotá,59,09/02/1966,F
429498548,1409749,Bogotá,42,08/08/1983,M
1001681409,2707753,Bogotá,34,19/08/1991,M
801274835,4877700,Bogotá,32,22/10/1993,M
1045196507,2895389,Manizales,35,11/07/1990,M
1900440558,3695845,Pereira,40,16/01/1985,M
797110843,5325150,Bogotá,23,06/06/2002,M
534150214,1703238,Barranquilla,46,07/08/1979,F
482432043,2268299,Medellín,42,26/06/1983,M
1441061255,1848071,Santa Marta,42,11/05/1983,M
157697582,2635541,Medellín,39,20/05/1986,F
754595490,1817614,Bogotá,35,09/12/1990,M
1768017741,1747104,Bogotá,41,01/09/1984,F
1689592528,6779930,Cali,40,07/09/1985,M
1121451555,2835599,Bogotá,31,08/02/1994,F
792698033,2611244,Cali,29,14/12/1996,M
708027879,2069731,Santa Marta,36,18/08/1989,M
1106768899,3615317,Medellín,50,23/04/1975,M
1348788865,3283656,Bogotá,22,21/08/2003,M
1836030589,1587987,Cúcuta,20,16/12/2005,M
96191493,6177663,Cali,36,26/08/1989,M
903102645,1841244,Bogotá,35,03/01/1990,F
210619113,3251205,Bogotá,36,08/05/1989,F
300770691,3394520,Bogotá,37,23/07/1988,M
803943861,2671397,Barranquilla,32,10/04/1993,F
144489564,4828137,Bucaramanga,49,19/11/1976,M
1480101905,6581995,Medellín,18,16/06/2007,F
1191686489,2703250,Bogotá,26,17/09/1999,F
1941679275,6148151,Medellín,33,14/06/1992,M
1897633569,3355858,Cúcuta,18,18/12/2007,F
1707157321,4814525,Cali,33,12/06/1992,M
1705770557,5121121,Cúcuta,51,15/12/1974,F
1842485859,1294400,Pereira,35,10/05/1990,F
430477197,4200928,Bogotá,37,08/05/1988,M
986125790,2755553,Cartagena,22,24/02/2003,M
1821936047,2809098,Barranquilla,28,11/04/1997,M
1412481934,2063660,Cali,31,24/02/1994,M
390072391,4904589,Bogotá,31,25/09/1994,M
312554573,5456117,Barranquilla,47,06/12/1978,F
851739990,3580345,Bogotá,40,07/04/1985,M
99482491,1241160,Medellín,23,16/12/2002,F
204249720,2616796,Medellín,37,24/05/1988,F
1990718781,1946751,Manizales,39,25/10/1986,M
1407283111,5142719,Pereira,46,20/09/1979,F
1489761620,4326953,Bogotá,50,04/05/1975,F
1679356239,3078834,Cali,24,10/04/2001,F
1072231788,6342760,Bogotá,26,12/04/1999,F
1175435217,5235064,Santa Marta,22,10/03/2003,F
180476398,7316251,Pereira,32,23/01/1993,F
1421916852,5888971,Bogotá,39,05/09/1986,M
382593431,1632263,Barranquilla,44,02/05/1981,F
1542243865,4297387,Cali,34,18/01/1991,M
1216604539,1562775,Bogotá,31,23/05/1994,M
469708603,3110873,Cartagena,36,21/03/1989,M
193378299,3181759,Cali,26,04/08/1999,F
1195407468,1946944,Bucaramanga,55,19/01/1970,F
615264936,1366564,Cali,18,16/05/2007,F
1282485020,1512014,Bogotá,36,15/08/1989,M
1307926158,2386461,Bogotá,55,06/06/1970,M
719816108,2423306,Bogotá,35,09/01/1990,M
330192576,2732744,Manizales,33,04/08/1992,M
77157848,3115301,Pereira,31,13/02/1994,M
1828495496,2525610,Pereira,33,03/08/1992,M
1179282391,3047933,Bogotá,48,21/10/1977,F
1706003200,2509674,Bogotá,18,02/11/2007,F
863477355,1131368,Pereira,50,05/03/1975,M
1270522119,1715361,Manizales,20,10/10/2005,F
33717335,5708952,Bogotá,32,08/02/1993,M
70472382,1822506,Medellín,30,18/02/1995,F
1364896522,1914497,Bogotá,40,20/07/1985,F
864021618,5366948,Cartagena,19,26/10/2006,F
898445520,4621969,Cartagena,39,08/10/1986,M
917706759,4168729,Bogotá,55,13/09/1970,F
993578274,2639716,Medellín,21,15/08/2004,F
1256294434,5606749,Cali,36,28/05/1989,M
1175097248,4496193,Bogotá,28,14/10/1997,F
465094650,4694189,Pereira,39,19/05/1986,F
328019332,1718416,Medellín,35,02/10/1990,F
1840948329,1206293,Bogotá,28,24/10/1997,M
1549598566,2751390,Cali,39,25/02/1986,F
658870905,1713367,Cartagena,53,21/04/1972,F
507653800,4276939,Bogotá,33,09/04/1992,F
1792238235,3606649,Bogotá,42,03/11/1983,M
1569517318,3039108,Cúcuta,22,08/03/2003,F
1513404232,5921606,Barranquilla,25,18/03/2000,M
539561415,2176296,Medellín,39,06/02/1986,F
1940375947,4272276,Cali,49,14/01/1976,F
1431196193,3227575,Bogotá,38,23/08/1987,F
419783328,2785596,Bogotá,31,16/10/1994,F
282981039,2072761,Bogotá,34,02/05/1991,M
1602652278,3961538,Cali,22,10/04/2003,F
1345658902,4709342,Bogotá,41,10/12/1984,M
735167677,4525199,Bogotá,43,28/12/1982,F
1406651735,1105229,Bogotá,30,03/08/1995,F
722631076,2825036,Barranquilla,30,08/11/1995,M
996151010,2297984,Bogotá,37,26/05/1988,F
402121003,1722799,Santa Marta,30,19/11/1995,M
600804839,5159441,Pereira,34,26/11/1991,M
1189921109,1240955,Bogotá,55,14/04/1970,F
1673066074,3023701,Bogotá,32,18/02/1993,M
273038498,1569044,Barranquilla,31,21/04/1994,M
1654658402,1390019,Bogotá,28,09/03/1997,F
523653348,1678335,Bogotá,42,03/03/1983,F
925879373,6121655,Manizales,33,06/01/1992,F
1508573442,2337327,Cali,28,20/05/1997,M
1130063232,2880045,Medellín,48,27/12/1977,M
962321028,1487750,Bucaramanga,49,10/10/1976,F
273183577,1626532,Bucaramanga,28,04/08/1997,F
1023547510,4744260,Bogotá,18,23/08/2007,M
1173795198,3349281,Bogotá,45,23/05/1980,F
1109805069,6850190,Medellín,28,09/07/1997,F
183660954,1707261,Medellín,42,18/09/1983,M
107636744,7629671,Medellín,18,15/08/2007,F
914790222,1507535,Cartagena,43,20/02/1982,M
1846274702,1537472,Barranquilla,22,14/01/2003,F
486272473,3046611,Cúcuta,42,11/12/1983,F
119174313,3213605,Bogotá,35,09/10/1990,M
1896935931,5790531,Medellín,25,03/01/2000,M
473390156,1730398,Bogotá,30,22/04/1995,F
876377394,2916186,Pereira,41,19/10/1984,F
144987326,1258281,Bogotá,36,25/01/1989,F
1709791711,1388449,Bogotá,40,27/11/1985,F
595878246,1876755,Medellín,54,19/05/1971,M
1360148659,1348816,Medellín,19,25/01/2006,F
281766524,3814108,Bogotá,51,16/03/1974,F
46810847,3518592,Bogotá,36,21/09/1989,M
849735171,2825182,Manizales,26,09/08/1999,M
1760484701,2247856,Medellín,21,19/03/2004,F
608424036,1137162,Pereira,33,21/07/1992,M
1080701974,1554031,Cali,44,03/08/1981,F
458469222,3557931,Bogotá,33,12/08/1992,M
1772581228,3414568,Cúcuta,50,11/07/1975,F
181116174,1282619,Pereira,20,22/06/2005,M
1107583786,4508375,Cúcuta,34,28/02/1991,M
882141340,3150650,Manizales,22,11/03/2003,F
992680611,3678928,Pereira,38,23/07/1987,F
1912041612,3398756,Bogotá,43,10/08/1982,F
340626207,1662936,Medellín,30,13/11/1995,F
434623942,4405859,Bogotá,18,02/09/2007,F
1254473018,4144389,Medellín,36,03/08/1989,F
846594930,1954940,Bogotá,39,09/06/1986,F
702440149,1742371,Medellín,39,04/06/1986,F
1644096923,3105113,Cúcuta,47,28/07/1978,F
1855537345,5793567,Bogotá,24,27/09/2001,M
544096553,3259337,Bucaramanga,41,22/01/1984,M
1333366956,6755356,Medellín,46,15/09/1979,F
1279737021,1802503,Medellín,18,02/07/2007,F
582964792,3129976,Manizales,38,17/04/1987,F
463094388,3888646,Cúcuta,29,20/06/1996,F
1605411077,4002017,Cali,34,21/08/1991,M
1970801051,5428543,Cartagena,38,25/08/1987,M
1314261659,1762442,Bogotá,30,07/01/1995,F
948194539,2493342,Bogotá,28,18/05/1997,F
811312299,2276790,Cúcuta,35,10/03/1990,F
1798896595,1835093,Cali,24,23/08/2001,F
1696028061,3634134,Cali,24,04/08/2001,F
1656176189,2965402,Cartagena,41,21/01/1984,M
178973642,4464273,Bogotá,23,26/10/2002,M
1403051263,2536067,Cali,41,23/04/1984,F
1330445433,8206096,Cali,39,10/03/1986,F
534363766,1931934,Pereira,18,01/09/2007,F
1711199195,1425703,Bogotá,28,14/09/1997,M
1540287576,1892777,Cúcuta,46,08/02/1979,F
1375814502,2564834,Bogotá,25,15/02/2000,F
1757314877,5951290,Bogotá,30,21/02/1995,M
482669408,2817452,Cali,39,16/03/1986,F
1178799104,2003286,Barranquilla,42,10/12/1983,F
988974072,4405378,Bogotá,32,23/09/1993,F
644324250,2825118,Bogotá,29,14/05/1996,M
1844414013,1292319,Santa Marta,49,16/08/1976,M
12235000,4484268,Bogotá,52,15/04/1973,M
1375863027,5338642,Cali,44,05/09/1981,F
1524271692,2217248,Cali,35,07/07/1990,F
1559326056,1852631,Medellín,26,17/10/1999,M
1319025538,2802387,Cali,26,05/12/1999,M
39859174,6107265,Cali,40,09/02/1985,M
717191493,8538185,Manizales,39,11/07/1986,F
56159303,3644551,Bogotá,49,09/09/1976,F
156412954,1854371,Cartagena,41,10/01/1984,F
1802766600,1785196,Bogotá,19,10/12/2006,M
963945764,6660515,Medellín,45,19/10/1980,M
836506464,3897442,Barranquilla,25,16/11/2000,M
524817842,4711640,Bogotá,31,15/03/1994,M
1167117161,2680908,Bogotá,37,16/09/1988,F
1460046123,2252461,Cartagena,54,11/06/1971,F
1058511127,2730219,Bogotá,65,25/09/1960,M
1912282702,2859439,Medellín,41,13/09/1984,F
732804538,3466434,Cúcuta,33,11/08/1992,F
1398146037,1537649,Cúcuta,40,23/04/1985,F
949585183,2374929,Bogotá,43,19/04/1982,F
90705119,3593514,Bogotá,31,08/07/1994,M
259546199,2207133,Bogotá,52,02/07/1973,M
881959784,2145683,Manizales,37,24/06/1988,M
1744463155,1142085,Santa Marta,39,23/08/1986,M
1571777264,3997535,Pereira,41,13/07/1984,M
288710077,3630607,Medellín,39,26/11/1986,M
1100558393,4606918,Bogotá,43,05/11/1982,M
1996196019,2654056,Pereira,28,02/08/1997,M
1070324619,4025731,Cartagena,29,17/03/1996,F
1091396733,1447189,Cali,23,11/10/2002,M
853120422,3593556,Cúcuta,39,28/02/1986,M
921695234,1455996,Barranquilla,42,04/08/1983,M
1302262512,2503890,Bogotá,39,15/09/1986,F
646028516,3296137,Bucaramanga,51,24/01/1974,M
1233380592,2730975,Bogotá,34,14/03/1991,F
168428240,2125888,Barranquilla,41,05/11/1984,F
1155815738,1525437,Manizales,24,16/02/2001,M
480575216,1399345,Bogotá,31,11/05/1994,F
21506305,1589285,Bogotá,41,23/10/1984,F
1775390555,2754059,Bogotá,43,21/07/1982,M
231099573,4134663,Cali,32,28/02/1993,M
151951830,4234207,Bogotá,34,28/06/1991,M
1206777444,3504258,Cali,19,28/11/2006,F
1492069727,3789976,Cartagena,31,13/09/1994,F
1763488608,1826061,Bogotá,43,21/06/1982,M
587034624,1918974,Barranquilla,40,25/12/1985,F
1038910482,4417534,Bogotá,40,28/08/1985,M
786124029,1949650,Medellín,35,02/09/1990,M
632318721,2669709,Santa Marta,35,03/10/1990,M
142863028,3562164,Pereira,28,21/04/1997,F
1933214041,1558362,Bogotá,41,10/11/1984,F
237174085,5802304,Medellín,39,24/04/1986,M
1049619487,2146516,Bogotá,39,14/02/1986,F
408129398,4895634,Bogotá,29,25/02/1996,M
749316547,2873708,Bucaramanga,18,23/11/2007,F
357262390,4904477,Barranquilla,45,15/02/1980,F
1133647690,1774894,Bogotá,30,23/03/1995,F
1597653815,2588789,Cartagena,26,01/05/1999,F
1030645498,1535397,Cali,41,11/01/1984,M
1050069008,3190427,Medellín,31,10/01/1994,M
990181758,4206935,Bogotá,45,12/06/1980,M
1311975333,5087671,Bogotá,41,05/07/1984,F
1589616535,2372912,Santa Marta,41,17/04/1984,M
578249203,1987750,Santa Marta,21,19/07/2004,F
583505733,4992131,Cali,47,26/11/1978,F
1722937941,2659456,Pereira,37,06/03/1988,M
163651082,6565653,Cali,31,03/03/1994,F
1369064574,2943087,Bogotá,36,28/10/1989,F
397791599,1637902,Bogotá,18,20/07/2007,F
1291382543,3189307,Bogotá,39,08/11/1986,F
1450113248,2187597,Santa Marta,24,19/08/2001,M
657326920,3004982,Bucaramanga,21,08/03/2004,F
1387739899,5515131,Pereira,19,21/08/2006,M
45213498,2910965,Santa Marta,46,15/05/1979,M
811090885,1401235,Bogotá,28,22/05/1997,M
851009615,4463370,Bogotá,50,26/01/1975,F
185127900,2787222,Bogotá,29,10/08/1996,M
1549139330,1913963,Bucaramanga,18,18/11/2007,M
400382227,3828629,Santa Marta,23,03/03/2002,M
1409982843,5282926,Medellín,47,12/08/1978,F
772633146,2157017,Barranquilla,33,10/10/1992,M
955928099,2507893,Bogotá,29,14/11/1996,F
81244178,1620793,Manizales,36,09/12/1989,F
916880345,4081674,Pereira,40,28/08/1985,M
61939266,5490281,Cúcuta,46,07/05/1979,M
1339296894,3132322,Bucaramanga,49,28/07/1976,M
982791954,3664275,Santa Marta,31,04/08/1994,F
1507509011,4311700,Bogotá,21,13/04/2004,F
633512415,4456709,Cartagena,30,12/10/1995,F
423075142,1785929,Bogotá,37,10/10/1988,F
758898099,4706301,Manizales,25,10/12/2000,M
1902033000,1971841,Bucaramanga,25,27/01/2000,M
830071328,2198515,Pereira,38,13/11/1987,M
1717558823,6847269,Bucaramanga,34,01/05/1991,F
1671015679,3949313,Bogotá,35,28/10/1990,F
86241446,1382273,Bucaramanga,27,25/11/1998,M
1885741009,2951710,Bogotá,32,02/12/1993,M
1460453863,2479268,Pereira,25,24/10/2000,F
600647936,2733076,Pereira,43,27/08/1982,F
764583306,1630737,Bogotá,45,25/05/1980,M
1474868827,3743843,Bucaramanga,18,20/04/2007,M
1020245560,2986076,Medellín,25,08/06/2000,M
497365080,2737068,Bogotá,20,07/11/2005,F
907955761,1151818,Bucaramanga,28,09/10/1997,M
1834045206,3178029,Bogotá,34,25/11/1991,M
188017694,4460091,Bogotá,20,25/12/2005,F
1630660189,3011845,Bogotá,25,22/11/2000,M
850887593,1479440,Bogotá,24,21/03/2001,F
1117850850,2013333,Pereira,37,21/02/1988,M
991614854,4928597,Cúcuta,35,02/11/1990,F
697126267,7083207,Bogotá,27,26/05/1998,M
761425679,1858769,Barranquilla,36,02/08/1989,F
1372458969,1137931,Medellín,29,12/10/1996,M
247085688,5395757,Cúcuta,32,05/12/1993,M
81450611,6799123,Cali,51,10/02/1974,M
137348283,4129902,Manizales,48,24/06/1977,F
1130252784,1795142,Bogotá,22,06/07/2003,M
1048747649,5396709,Cúcuta,43,05/04/1982,M
409873327,1004919,Bogotá,43,12/09/1982,F
1716028683,1892207,Cúcuta,23,17/09/2002,M
260368452,2783165,Bogotá,43,27/05/1982,F
1729782436,2275949,Bogotá,50,09/03/1975,M
1653410591,7354326,Medellín,23,26/08/2002,M
581666426,1657060,Cartagena,25,24/05/2000,M
820490870,1897001,Bogotá,45,26/06/1980,M
1466121864,4730122,Cali,37,15/02/1988,F
1207743336,2004624,Cali,40,05/02/1985,M
1509843682,3483240,Medellín,38,28/04/1987,M
870530322,3634767,Cali,38,24/11/1987,M
980472239,3993064,Bogotá,21,13/11/2004,M
1498898255,2043511,Cartagena,45,12/09/1980,M
1715575554,2237021,Bogotá,46,26/02/1979,M
1540401171,2193639,Manizales,32,01/07/1993,F
1672523543,4022527,Cali,34,18/05/1991,M
1747349173,3182151,Cartagena,19,15/02/2006,M
1212056311,3143839,Cartagena,40,22/06/1985,M
1675459872,1488719,Barranquilla,40,22/12/1985,F
620021271,2772210,Medellín,34,19/05/1991,F
1517226227,2604538,Bogotá,46,27/07/1979,F
371378378,2681913,Barranquilla,31,12/11/1994,M
1881038064,2393436,Bogotá,40,22/02/1985,F
704190023,3378526,Bogotá,24,16/04/2001,F
1235528739,1647878,Pereira,34,20/01/1991,M
1721777189,1954102,Cartagena,33,11/09/1992,F
735799015,2073698,Bogotá,37,08/10/1988,M
467109331,2201353,Bogotá,31,03/11/1994,F
356546429,1357523,Medellín,33,27/11/1992,F
49501026,2156158,Medellín,43,23/08/1982,M
1608942319,3335018,Bogotá,30,21/05/1995,M
445816957,1725896,Bogotá,18,04/07/2007,F
1900358744,5644765,Medellín,52,02/03/1973,F
712234722,1168925,Manizales,48,10/01/1977,M
31739356,4269065,Barranquilla,22,04/08/2003,M
1229431313,1499578,Santa Marta,41,08/02/1984,M
700665343,4629947,Cali,29,05/09/1996,F
1321527789,2419136,Bogotá,37,15/07/1988,M
219310033,3473106,Cali,37,22/06/1988,F
834183605,2993842,Bogotá,32,23/12/1993,M
1935967010,3308765,Bogotá,27,14/09/1998,M
662668623,1605592,Medellín,28,24/10/1997,M
973229352,5542072,Cali,25,05/12/2000,M
765593187,1706915,Barranquilla,26,21/07/1999,M
921302816,5429654,Medellín,34,27/02/1991,M
87633091,2056971,Medellín,27,20/08/1998,M
1028977056,1856365,Bogotá,41,09/07/1984,M
1407581076,2336998,Medellín,49,23/01/1976,M
778037679,3120527,Santa Marta,29,07/06/1996,M
1068672531,2145208,Bucaramanga,37,15/08/1988,F
1583971447,4174292,Bogotá,39,28/04/1986,M
652668415,2106754,Bogotá,39,04/06/1986,M
1058704391,4142270,Cali,35,12/11/1990,F
1509903110,6110399,Barranquilla,42,21/09/1983,F
958929730,3461495,Bogotá,39,02/06/1986,M
686942224,2848527,Bucaramanga,22,09/07/2003,F
1333111039,1713052,Cartagena,43,04/04/1982,F
303383200,3304039,Barranquilla,43,03/08/1982,M
192708911,2351800,Bogotá,27,07/11/1998,F
412330059,2950577,Bogotá,35,21/11/1990,F
47856186,4838804,Bogotá,41,01/10/1984,F
1589327346,3964449,Bogotá,32,26/01/1993,M
595544149,1184948,Medellín,45,08/06/1980,M
1149035510,5543251,Pereira,58,26/03/1967,M
1085725333,2904163,Bogotá,27,07/10/1998,M
1057927533,4694695,Medellín,21,27/02/2004,F
395992349,1943943,Barranquilla,38,07/09/1987,F
1698341868,2843624,Bogotá,42,07/10/1983,F
1693827125,2325467,Barranquilla,32,11/04/1993,F
1754180999,5670412,Medellín,49,26/03/1976,F
573236122,7663557,Bogotá,21,01/10/2004,F
1875709594,1512312,Barranquilla,41,28/05/1984,F
1276204897,1921099,Bogotá,28,05/03/1997,F
1513575316,3920764,Cartagena,52,09/09/1973,M
21326237,2754102,Bucaramanga,54,04/03/1971,M
633214176,1157987,Bogotá,27,28/11/1998,M
340299675,1693484,Medellín,29,05/01/1996,F
735523310,1980874,Bogotá,43,12/01/1982,F
1574087776,3255792,Manizales,31,19/04/1994,M
848562244,3294052,Cali,34,01/06/1991,M
998638203,2717672,Bogotá,35,09/03/1990,M
965424572,4367848,Bogotá,18,05/01/2007,F
1215908114,4915811,Pereira,34,14/12/1991,F
319255683,3587184,Medellín,28,04/09/1997,M
114436258,3245406,Bucaramanga,30,03/12/1995,M
1163430719,5919203,Barranquilla,49,15/08/1976,M
634798768,3811817,Cúcuta,22,17/06/2003,F
197276799,7001764,Cali,43,04/10/1982,M
770684560,2702126,Manizales,32,17/08/1993,F
1901755227,3553101,Santa Marta,32,20/04/1993,M
1959608412,1315756,Cali,42,24/01/1983,F
1210702509,1103397,Cartagena,38,17/11/1987,M
1791828980,2991883,Cali,40,15/05/1985,M
1657094277,2184968,Pereira,44,01/11/1981,F
1599819490,3307851,Cali,31,16/01/1994,M
1073944059,1253497,Santa Marta,28,14/07/1997,M
76385640,4659059,Cartagena,24,04/11/2001,M
1955928740,3420523,Medellín,26,23/08/1999,F
1849614231,1870670,Bogotá,64,03/08/1961,M
1430561756,1248080,Bogotá,47,11/02/1978,M
1849036912,6080071,Barranquilla,21,05/10/2004,M
236623789,6498669,Cartagena,21,05/02/2004,M
320493790,3231367,Cali,39,20/05/1986,F
1526164064,1715105,Barranquilla,40,19/11/1985,M
333609715,2444904,Bogotá,40,23/09/1985,F
1274648382,4780041,Bogotá,32,13/06/1993,F
1322958716,1323159,Bogotá,33,17/10/1992,F
1663982164,1603900,Bogotá,38,15/05/1987,F
829956639,6407752,Bogotá,35,20/09/1990,M
1518120534,1578596,Cali,18,04/07/2007,F
1163090720,1202316,Bogotá,32,04/12/1993,F
1371169663,2731540,Bogotá,26,21/11/1999,F
737965823,3113269,Barranquilla,36,24/09/1989,F
1610677905,3048079,Cartagena,64,14/04/1961,M
253959576,6177088,Bogotá,38,08/08/1987,M
1705186921,3395114,Medellín,31,11/07/1994,F
1883270494,1505310,Cali,44,13/08/1981,M
1488384181,3961245,Medellín,39,24/07/1986,F
851941561,1388464,Bogotá,39,11/02/1986,F
1856908226,1997843,Medellín,41,11/07/1984,M
310910439,1946043,Santa Marta,55,09/11/1970,M
312434989,2672551,Cali,23,05/06/2002,M
427369879,3010577,Barranquilla,39,16/11/1986,F
907299057,2794068,Pereira,25,03/02/2000,M
503952287,2351835,Cartagena,40,03/02/1985,F
745055790,2245918,Medellín,25,04/07/2000,F
1550376214,3776774,Bogotá,30,24/12/1995,M
611656257,3428427,Medellín,32,26/06/1993,F
1101624574,5664207,Cartagena,44,18/03/1981,F
88725274,4878603,Pereira,44,19/01/1981,F
1278263401,1258387,Manizales,22,18/09/2003,M
1630804993,2669808,Medellín,35,22/06/1990,F
1395344985,2816647,Cartagena,27,14/02/1998,F
1044093328,2991904,Cali,22,28/06/2003,M
1507525351,1713856,Cali,32,25/11/1993,F
856176160,2189797,Bogotá,31,28/07/1994,M
596784136,3793107,Bogotá,59,02/12/1966,F
879662506,3592104,Medellín,39,20/05/1986,M
907265909,2214148,Bogotá,21,12/05/2004,F
1554002735,1760848,Bogotá,29,19/02/1996,F
236860070,3894913,Barranquilla,45,07/09/1980,M
1270967388,5964995,Medellín,55,22/03/1970,M
1283501353,3979824,Bogotá,19,08/08/2006,F
1338696054,1964052,Medellín,18,12/02/2007,F
1812945049,3581541,Bogotá,53,12/09/1972,M
